Filesystem: -yaffs1- Test: -fileIO- Result: 81445 Cycles
FAILPARAM - Mean Erases: 100, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,1,2,4
1,1,1,2
2,1,2,2
3,1,2,2
4,1,2,2
5,1,2,2
6,1,2,1
7,1,2,2
8,1,2,2
9,1,2,2
10,1,2,2
11,1,2,1
12,1,2,2
13,1,2,2
14,1,2,2
15,1,2,2
16,1,2,1
17,1,2,2
18,1,2,2
19,1,2,2
20,1,2,2
21,1,2,1
22,1,2,2
23,1,2,2
24,1,2,2
25,1,2,2
26,1,2,1
27,1,2,2
28,1,2,2
29,1,2,2
30,1,2,2
31,1,2,1
32,1,2,2
33,1,2,2
34,1,2,2
35,1,2,2
36,1,2,1
37,1,2,2
38,1,2,2
39,1,2,2
40,1,2,2
41,1,2,1
42,1,2,2
43,1,2,2
44,1,2,2
45,1,2,2
46,1,2,1
47,1,2,2
48,1,2,2
49,1,2,2
50,1,2,2
51,1,2,1
52,1,2,2
53,1,2,2
54,1,2,2
55,1,2,2
56,1,2,1
57,1,2,2
58,1,2,2
59,1,2,2
60,1,2,2
61,1,2,1
62,1,2,2
63,1,2,2
64,101,203,185
65,101,203,183
66,101,202,181
67,101,202,182
68,101,202,182
69,101,202,182
70,101,202,182
71,101,202,181
72,101,202,182
73,101,202,182
74,101,202,182
75,101,202,182
76,101,202,181
77,101,202,182
78,101,202,182
79,101,202,182
80,101,202,182
81,101,202,181
82,101,202,182
83,101,202,182
84,101,202,182
85,101,202,182
86,101,202,181
87,101,202,182
88,101,202,182
89,101,202,182
90,101,202,182
91,101,202,181
92,101,202,182
93,101,202,182
94,101,202,182
95,101,202,182
96,101,202,181
97,101,202,182
98,101,202,182
99,101,202,182
100,101,202,182
101,101,202,181
102,101,202,182
103,101,202,182
104,101,202,182
105,101,202,182
106,101,202,181
107,101,202,182
108,101,202,182
109,101,202,182
110,101,202,182
111,101,202,181
112,101,202,182
113,101,202,182
114,101,202,182
115,101,202,182
116,101,202,181
117,101,202,182
118,101,202,182
119,101,202,182
120,101,202,182
121,101,202,181
122,101,202,182
123,101,202,182
124,101,202,182
125,101,202,182
126,101,202,181
127,101,202,182
128,101,203,185
129,101,203,183
130,101,202,182
131,101,202,181
132,101,202,182
133,101,202,182
134,101,202,182
135,101,202,182
136,101,202,181
137,101,202,182
138,101,202,182
139,101,202,182
140,101,202,182
141,101,202,181
142,101,202,182
143,101,202,182
144,101,202,182
145,101,202,182
146,101,202,181
147,101,202,182
148,101,202,182
149,101,202,182
150,101,202,182
151,101,202,181
152,101,202,182
153,101,202,182
154,101,202,182
155,101,202,182
156,101,202,181
157,101,202,182
158,101,202,182
159,101,202,182
160,101,202,182
161,101,202,181
162,101,202,182
163,101,202,182
164,101,202,182
165,101,202,182
166,101,202,181
167,101,202,182
168,101,202,182
169,101,202,182
170,101,202,182
171,101,202,181
172,101,202,182
173,101,202,182
174,101,202,182
175,101,202,182
176,101,202,181
177,101,202,182
178,101,202,182
179,101,202,182
180,101,202,182
181,101,202,181
182,101,202,182
183,101,202,182
184,101,202,182
185,101,202,182
186,101,202,181
187,101,202,182
188,101,202,182
189,101,202,182
190,101,202,182
191,101,202,181
192,101,203,185
193,101,203,183
194,101,202,182
195,101,202,182
196,101,202,181
197,101,202,182
198,101,202,182
199,101,202,182
200,101,202,182
201,101,202,181
202,101,202,182
203,101,202,182
204,101,202,182
205,101,202,182
206,101,202,181
207,101,202,182
208,101,202,182
209,101,202,182
210,101,202,182
211,101,202,181
212,101,202,182
213,101,202,182
214,101,202,182
215,101,202,182
216,101,202,181
217,101,202,182
218,101,202,182
219,101,202,182
220,101,202,182
221,101,202,181
222,101,202,182
223,101,202,182
224,101,202,182
225,101,202,182
226,101,202,181
227,101,202,182
228,101,202,182
229,101,202,182
230,101,202,182
231,101,202,181
232,101,202,182
233,101,202,182
